model_name,model_slug,successful_runs,consensus_mean,consensus_sd,inductive_logic_mean,inductive_logic_sd,deductive_validity_mean,deductive_validity_sd,neutral_domain_mean,neutral_domain_sd,system_a_mean,system_a_sd,system_b_mean,system_b_sd,compatibility_mean,compatibility_sd,lds_mean,lds_sd,semantic_delta_mean,semantic_delta_sd
claude-opus-4.5,anthropic/claude-opus-4.5,100,82.84,3.65,45.49,1.80,5.55,1.25,39.87,4.18,5.61,1.60,5.61,1.60,77.35,2.92,77.29,4.34,5.62,4.21
deepseek-v3.2,deepseek/deepseek-chat-v3-0324,100,79.20,3.81,65.95,3.74,17.65,7.77,51.60,13.80,18.15,8.09,18.70,9.20,56.55,6.84,61.55,9.55,14.35,13.77
gemini-3-pro,google/gemini-3-pro-preview,100,92.17,1.76,56.42,12.25,4.85,1.32,21.46,11.89,2.02,2.47,2.02,2.47,95.29,1.43,87.32,2.04,35.07,16.20
gpt-4,openai/gpt-4-0314,97,83.27,4.74,65.78,5.08,19.43,19.54,58.05,11.27,18.92,19.42,18.97,19.42,63.18,14.94,63.84,19.68,7.73,11.23
gpt-5.1,openai/gpt-5.1,100,84.06,3.33,63.79,5.35,8.01,2.47,51.82,13.76,6.94,2.43,6.94,2.43,88.06,3.38,76.05,3.90,11.97,14.63
grok-4.1-fast,x-ai/grok-4.1-fast,100,80.39,4.62,57.52,5.39,4.74,1.99,56.16,8.55,4.74,1.99,4.74,1.99,92.18,3.17,75.65,5.18,1.36,6.24
o3,openai/o3,100,76.45,2.37,62.74,4.37,12.09,2.84,38.46,11.71,11.47,2.87,11.56,2.88,77.35,5.43,64.36,3.61,24.28,12.50
